STATE,zipcode,A18425
AL,35234,0.0
AL,35235,27.0
AL,35235,346.0
AL,35235,593.0
AL,35235,433.0
AL,35235,779.0
AL,35235,473.0
AL,35242,152.0
AL,35242,383.0
AL,35242,850.0
AL,35242,1475.0
AL,35242,12067.0
AL,35242,61618.0
AL,35243,114.0
AL,35243,135.0
AL,35243,384.0
AL,35243,758.0
AL,35243,4115.0
AL,35243,24965.0
AL,35244,70.0
AL,35244,270.0
AL,35244,739.0
AL,35244,1146.0
AL,35244,6612.0
AL,35244,15903.0
AL,35401,27.0
AL,35401,124.0
AL,35401,220.0
AL,35401,154.0
AL,35401,435.0
AL,35401,1393.0
AL,35404,20.0
AL,35404,128.0
AL,35404,184.0
AL,35404,149.0
AL,35404,518.0
AL,35404,998.0
AL,35405,53.0
AL,35405,398.0
AL,35405,736.0
AL,35405,729.0
AL,35405,1963.0
AL,35405,2396.0
AL,35406,0.0
AL,35406,76.0
AL,35406,229.0
AL,35406,376.0
AL,35406,2761.0
AL,35406,15321.0
AL,35441,0.0
AL,35441,0.0
AL,35441,0.0
AL,35441,0.0
AL,35441,0.0
AL,35441,0.0
AL,35442,0.0
AL,35442,66.0
AL,35442,84.0
AL,35442,0.0
AL,35442,345.0
AL,35442,0.0
AL,35443,0.0
AL,35443,0.0
AL,35443,0.0
AL,35443,0.0
AL,35443,0.0
AL,35443,0.0
AL,35444,0.0
AL,35444,73.0
AL,35444,0.0
AL,35444,0.0
AL,35444,193.0
AL,35444,0.0
AL,35446,0.0
AL,35446,0.0
AL,35446,0.0
AL,35446,116.0
AL,35446,0.0
AL,35446,0.0
AL,35447,37.0
AL,35447,0.0
AL,35447,0.0
AL,35447,143.0
AL,35447,0.0
AL,35447,0.0
AL,35452,0.0
AL,35452,56.0
AL,35452,0.0
AL,35452,0.0
AL,35452,304.0
AL,35452,0.0
AL,35453,0.0
AL,35453,54.0
AL,35453,118.0
AL,35453,118.0
AL,35453,419.0
AL,35453,400.0
AL,35456,0.0
AL,35456,0.0
AL,35456,84.0
AL,35456,0.0
AL,35456,254.0
AL,35456,0.0
AL,35458,0.0
AL,35458,0.0
AL,35458,0.0
AL,35458,0.0
AL,35458,0.0
AL,35458,0.0
AL,35459,0.0
AL,35459,0.0
AL,35459,0.0
AL,35459,0.0
AL,35459,0.0
AL,35459,0.0
AL,35460,0.0
AL,35460,0.0
AL,35460,0.0
AL,35460,0.0
AL,35460,0.0
AL,35460,0.0
AL,35461,0.0
AL,35461,0.0
AL,35461,0.0
AL,35461,194.0
AL,35461,0.0
AL,35461,0.0
AL,35462,0.0
AL,35462,67.0
AL,35462,91.0
AL,35462,0.0
AL,35462,161.0
AL,35462,0.0
AL,35463,0.0
AL,35463,48.0
AL,35463,0.0
AL,35463,0.0
AL,35463,205.0
AL,35463,0.0
AL,35464,0.0
AL,35464,0.0
AL,35464,0.0
AL,35464,0.0
AL,35464,0.0
AL,35464,0.0
AL,35466,0.0
AL,35466,0.0
AL,35466,83.0
AL,35466,0.0
AL,35466,509.0
AL,35466,0.0
AL,35469,0.0
AL,35469,0.0
AL,35469,0.0
AL,35469,0.0
AL,35469,0.0
AL,35469,0.0
AL,35470,43.0
AL,35470,0.0
AL,35470,85.0
AL,35470,0.0
AL,35470,251.0
AL,35470,0.0
AL,35473,0.0
AL,35473,114.0
AL,35473,197.0
AL,35473,204.0
AL,35473,810.0
AL,35473,1408.0
AL,35474,0.0
AL,35474,52.0
AL,35474,93.0
AL,35474,84.0
AL,35474,252.0
AL,35474,333.0
AL,35475,0.0
AL,35475,114.0
AL,35475,210.0
AL,35475,356.0
AL,35475,1819.0
AL,35475,3979.0
AL,35476,35.0
AL,35476,0.0
AL,35476,137.0
AL,35476,0.0
AL,35476,177.0
AL,35476,422.0
AL,35480,0.0
AL,35480,0.0
AL,35480,109.0
AL,35480,0.0
AL,35480,166.0
AL,35480,0.0
AL,35481,0.0
AL,35481,0.0
AL,35481,138.0
AL,35481,0.0
AL,35481,0.0
AL,35481,0.0
AL,35490,0.0
AL,35490,0.0
AL,35490,109.0
AL,35490,0.0
AL,35490,352.0
AL,35490,0.0
AL,35501,0.0
AL,35501,0.0
AL,35501,122.0
AL,35501,0.0
AL,35501,216.0
AL,35501,495.0
AL,35503,0.0
AL,35503,48.0
AL,35503,0.0
AL,35503,96.0
AL,35503,269.0
AL,35503,261.0
AL,35504,0.0
AL,35504,35.0
AL,35504,70.0
AL,35504,136.0
AL,35504,724.0
AL,35504,1502.0
AL,35540,0.0
AL,35540,0.0
AL,35540,0.0
AL,35540,0.0
AL,35540,0.0
AL,35540,0.0
AL,35541,0.0
AL,35541,0.0
AL,35541,0.0
AL,35541,0.0
AL,35541,185.0
AL,35541,408.0
AL,35542,0.0
AL,35542,0.0
AL,35542,0.0
AL,35542,0.0
AL,35542,0.0
AL,35542,0.0
AL,35543,0.0
AL,35543,0.0
AL,35543,0.0
AL,35543,0.0
AL,35543,0.0
AL,35543,0.0
AL,35544,0.0
AL,35544,0.0
AL,35544,0.0
AL,35544,0.0
AL,35544,0.0
AL,35544,0.0
AL,35546,0.0
AL,35546,0.0
AL,35546,0.0
AL,35546,0.0
AL,35546,186.0
AL,35546,0.0
AL,35548,0.0
AL,35548,0.0
AL,35548,0.0
AL,35548,0.0
AL,35548,0.0
AL,35548,0.0
AL,35549,0.0
AL,35549,0.0
AL,35549,107.0
AL,35549,0.0
AL,35549,0.0
AL,35549,0.0
AL,35550,0.0
AL,35550,63.0
AL,35550,0.0
AL,35550,0.0
AL,35550,223.0
AL,35550,0.0
AL,35552,0.0
AL,35552,0.0
AL,35552,0.0
AL,35552,0.0
AL,35552,0.0
AL,35552,0.0
AL,35553,0.0
AL,35553,0.0
AL,35553,0.0
AL,35553,0.0
AL,35553,456.0
AL,35553,0.0
AL,35554,0.0
AL,35554,0.0
AL,35554,0.0
AL,35554,0.0
AL,35554,0.0
AL,35554,0.0
AL,35555,0.0
AL,35555,0.0
AL,35555,103.0
AL,35555,0.0
AL,35555,200.0
AL,35555,305.0
AL,35563,0.0
AL,35563,74.0
AL,35563,0.0
AL,35563,0.0
AL,35563,144.0
AL,35563,0.0
AL,35564,0.0
AL,35564,0.0
AL,35564,0.0
AL,35564,0.0
AL,35564,0.0
AL,35564,0.0
AL,35565,0.0
AL,35565,83.0
AL,35565,0.0
AL,35565,0.0
AL,35565,216.0
AL,35565,638.0
AL,35570,0.0
AL,35570,80.0
AL,35570,0.0
AL,35570,90.0
AL,35570,235.0
AL,35570,285.0
AL,35571,0.0
AL,35571,0.0
AL,35571,0.0
AL,35571,0.0
AL,35571,0.0
AL,35571,0.0
AL,35572,0.0
AL,35572,0.0
AL,35572,0.0
AL,35572,0.0
AL,35572,0.0
AL,35572,0.0
AL,35574,0.0
AL,35574,0.0
AL,35574,0.0
AL,35574,0.0
AL,35574,0.0
AL,35574,0.0
AL,35575,0.0
AL,35575,0.0
AL,35575,0.0
AL,35575,0.0
AL,35575,0.0
AL,35575,0.0
AL,35576,0.0
AL,35576,0.0
AL,35576,0.0
AL,35576,0.0
AL,35576,0.0
AL,35576,0.0
AL,35578,0.0
AL,35578,0.0
AL,35578,91.0
AL,35578,0.0
AL,35578,0.0
AL,35578,0.0
AL,35579,0.0
AL,35579,93.0
AL,35579,0.0
AL,35579,0.0
AL,35579,0.0
AL,35579,0.0
AL,35580,0.0
AL,35580,63.0
AL,35580,0.0
AL,35580,0.0
AL,35580,180.0
AL,35580,0.0
AL,35581,0.0
AL,35581,0.0
AL,35581,0.0
AL,35581,0.0
AL,35581,183.0
AL,35581,0.0
AL,35582,0.0
AL,35582,89.0
AL,35582,0.0
AL,35582,0.0
AL,35582,0.0
AL,35582,672.0
AL,35585,0.0
AL,35585,0.0
AL,35585,0.0
AL,35585,0.0
AL,35585,0.0
AL,35585,0.0
AL,35586,0.0
AL,35586,0.0
AL,35586,0.0
AL,35586,0.0
AL,35586,223.0
AL,35586,0.0
AL,35587,0.0
AL,35587,0.0
AL,35587,0.0
AL,35587,0.0
AL,35587,0.0
AL,35587,0.0
AL,35592,0.0
AL,35592,0.0
AL,35592,0.0
AL,35592,0.0
AL,35592,227.0
AL,35592,0.0
AL,35593,0.0
AL,35593,0.0
AL,35593,0.0
AL,35593,0.0
AL,35593,0.0
AL,35593,0.0
AL,35594,0.0
AL,35594,65.0
AL,35594,0.0
AL,35594,86.0
AL,35594,194.0
AL,35594,322.0
AL,35601,0.0
AL,35601,81.0
AL,35601,225.0
AL,35601,246.0
AL,35601,823.0
AL,35601,2826.0
AL,35603,0.0
AL,35603,153.0
AL,35603,284.0
AL,35603,456.0
AL,35603,2755.0
AL,35603,5062.0
AL,35610,0.0
AL,35610,0.0
AL,35610,0.0
AL,35610,0.0
AL,35610,0.0
AL,35610,0.0
AL,35611,0.0
AL,35611,81.0
AL,35611,143.0
AL,35611,184.0
AL,35611,877.0
AL,35611,1243.0
AL,35613,0.0
AL,35613,92.0
AL,35613,169.0
AL,35613,360.0
AL,35613,2356.0
AL,35613,3928.0
AL,35614,0.0
AL,35614,0.0
AL,35614,91.0
AL,35614,0.0
AL,35614,437.0
AL,35614,0.0
AL,35616,0.0
AL,35616,0.0
AL,35616,0.0
AL,35616,172.0
AL,35616,0.0
AL,35616,0.0
AL,35618,0.0
AL,35618,76.0
AL,35618,0.0
AL,35618,0.0
AL,35618,0.0
AL,35618,0.0
AL,35619,0.0
AL,35619,0.0
AL,35619,81.0
AL,35619,0.0
AL,35619,220.0
AL,35619,0.0
AL,35620,0.0
AL,35620,0.0
AL,35620,100.0
AL,35620,0.0
AL,35620,286.0
AL,35620,262.0
AL,35621,0.0
AL,35621,0.0
AL,35621,0.0
AL,35621,0.0
AL,35621,283.0
AL,35621,0.0
AL,35622,0.0
AL,35622,0.0
AL,35622,85.0
AL,35622,0.0
AL,35622,283.0
AL,35622,0.0
AL,35630,0.0
AL,35630,104.0
AL,35630,170.0
AL,35630,173.0
AL,35630,884.0
AL,35630,1822.0
AL,35633,0.0
AL,35633,48.0
AL,35633,113.0
AL,35633,170.0
AL,35633,846.0
AL,35633,1138.0
AL,35634,38.0
AL,35634,0.0
AL,35634,66.0
AL,35634,84.0
AL,35634,608.0
AL,35634,2823.0
AL,35640,0.0
AL,35640,63.0
AL,35640,159.0
AL,35640,268.0
AL,35640,1562.0
AL,35640,1989.0
AL,35643,0.0
AL,35643,0.0
AL,35643,0.0
AL,35643,181.0
AL,35643,0.0
AL,35643,0.0
AL,35645,0.0
AL,35645,73.0
AL,35645,0.0
AL,35645,88.0
AL,35645,672.0
AL,35645,1470.0
AL,35646,0.0
AL,35646,59.0
AL,35646,0.0
AL,35646,0.0
AL,35646,328.0
AL,35646,0.0
AL,35647,0.0
AL,35647,0.0
AL,35647,0.0
AL,35647,0.0
AL,35647,0.0
AL,35647,0.0
AL,35648,0.0
AL,35648,0.0
AL,35648,0.0
AL,35648,0.0
AL,35648,247.0
AL,35648,0.0
AL,35650,0.0
AL,35650,0.0
AL,35650,99.0
AL,35650,77.0
AL,35650,366.0
AL,35650,225.0
AL,35651,0.0
AL,35651,0.0
AL,35651,0.0
AL,35651,0.0
AL,35651,0.0
AL,35651,0.0
AL,35652,0.0
AL,35652,0.0
AL,35652,154.0
AL,35652,0.0
AL,35652,417.0
AL,35652,515.0
AL,35653,0.0
AL,35653,0.0
AL,35653,84.0
AL,35653,0.0
